Unnamed: 0,title,text,subject,date,class
0, Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbing,donald trump just couldn t wish all americans a happy new year and leave it at that instead he had to give a shout out to his enemies haters and the very dishonest fake news media the former reality show star had just one job to do and he couldn t do it as our country rapidly grows stronger and smarter i want to wish all of my friends supporters enemies haters and even the very dishonest fake news media a happy and healthy new year president angry pants tweeted 2018 will be a great year for america as our country rapidly grows stronger and smarter i want to wish all of my friends supporters enemies haters and even the very dishonest fake news media a happy and healthy new year 2018 will be a great year for america donald j trump december 31 2017trump s tweet went down about as welll as you d expectwhat kind of president sends a new year s greeting like this despicable petty infantile gibberish only trump his lack of decency won t even allow him to rise above the gutter long enough to wish the american citizens a happy new year bishop talbert swan december 31 2017no one likes you calvin december 31 2017your impeachment would make 2018 a great year for america but i ll also accept regaining control of congress miranda yaver december 31 2017do you hear yourself talk when you have to include that many people that hate you you have to wonder why do the they all hate me alan sandoval december 31 2017who uses the word haters in a new years wish marlene december 31 2017you can t just say happy new year koren pollitt december 31 2017here s trump s new year s eve tweet from 2016happy new year to all including to my many enemies and those who have fought me and lost so badly they just don t know what to do love donald j trump december 31 2016this is nothing new for trump he s been doing this for yearstrump has directed messages to his enemies and haters for new year s easter thanksgiving and the anniversary of 911 piccom4fpae2kypa daniel dale december 31 2017trump s holiday tweets are clearly not presidentialhow long did he work at hallmark before becoming president steven goodine december 31 2017he s always been like this the only difference is that in the last few years his filter has been breaking down roy schulze december 31 2017who apart from a teenager uses the term haters wendy december 31 2017he s a fucking 5 year old who knows december 31 2017so to all the people who voted for this a hole thinking he would change once he got into power you were wrong 70yearold men don t change and now he s a year older andrew burton,News,"December 31, 2017",0
1, Drunk Bragging Trump Staffer Started Russian Collusion Investigation,house intelligence committee chairman devin nunes is going to have a bad day he s been under the assumption like many of us that the christopher steeledossier was what prompted the russia investigation so he s been lashing out at the department of justice and the fbi in order to protect trump as it happens the dossier is not what started the investigation to documents obtained the new york timesformer trump campaign adviser george papadopoulos was drunk in a wine bar when he revealed knowledge of russian opposition research on hillary clintonon top of that papadopoulos wasn t just a covfefe boy for trump as his administration has alleged he had a much larger role but none so damning as being a drunken fool in a wine bar coffee boys don t help to arrange a new york meeting between trump and president abdel fattah elsisi of egypt two months before the election it was known before that the former aide set up meetings with world leaders for trump but team trump ran with him being merely a coffee boyin may 2016 papadopoulos revealed to australian diplomat alexander downer that russian officials were shopping around possible dirt on thendemocratic presidential nominee hillary clinton exactly how much mr papadopoulos that night at the kensington wine rooms with the australian alexander downer is unclear the report states but two months later when leaked democratic emails began appearing online australian officials passed the information about mr papadopoulos to their american counterparts to four current and former american and foreign officials with direct knowledge of the australians role papadopoulos pleaded guilty to lying to the fbi and is now a cooperating witness with special counsel robert mueller s teamthis isn t a presidency it s a badly scripted reality tv show win mcnamee,News,"December 31, 2017",0
2, Sheriff David Clarke Becomes An Internet Joke For Threatening To Poke People ‘In The Eye’,on friday it was revealed that former milwaukee sheriff david clarke who was being considered for homeland security secretary in donald trump s administration has an email scandal of his ownin january there was a brief runin on a plane between clarke and fellow passenger dan black who he later had detained the police for no reason whatsoever except that maybe his feelings were hurt clarke messaged the police to stop black after he deplaned and now a search warrant has been executed the fbi to see the exchangesclarke is calling it fake news even though copies of the search warrant are on the internet i am unintimidated lib media attempts to smear and discredit me with their fake news reports designed to silence me the former sheriff tweeted i will continue to poke them in the eye with a sharp stick and bitch slap these scum bags til they get it i have been attacked better people than them maga i am unintimidated lib media attempts to smear and discredit me with their fake news reports designed to silence me i will continue to poke them in the eye with a sharp stick and bitch slap these scum bags til they get it i have been attacked better people than them maga piccomxtzw5pdu2b david a clarke jr december 30 2017he didn t stop therebreaking news when lying lib media makes up fake news to smear me the antidote is go right at them punch them in the nose make them taste their own blood nothing gets a bully like lying lib media s attention better than to give them a taste of their own blood neverbackdown piccomt2ny2pshcr david a clarke jr december 30 2017the internet called him outthis is your local newspaper and that search warrant isn t fake and just because the chose not to file charges at the time doesn t mean they won t especially if you continue to lie months after decision not to charge clarke email search warrant filed keithleblanc december 30 2017i just hope the rest of the village people aren t implicated kirk ketchum december 30 2017slaw baked potatoes or french fries piccomfwfxszupxy alt immigration december 30 2017piccomymsobljfxu pendulum swinger december 30 2017you called your police friends to stand up for you when someone made fun of your hat chris jackson december 30 2017is it me with this masterful pshop of your hat which i seem to never tire of i think it s the steely resolve in your one visible eye piccomdwr5k8zezv chris mohney december 30 2017are you indicating with your fingers how many people died in your jail i think you re a few fingers short dipshit ike barinholtz december 30 2017rofl internet tough guy with fake flair piccomulcfddhkdy kellmecrazy december 30 2017you re so edgy buddy mrs smh december 30 2017is his break over at applebees aaron december 30 2017are you trying to earn your still relevant badge circusrebel december 30 2017make sure to hydrate drink lots of water it s rumored that prisoners can be denied water prison officials robert klinc december 30 2017terrill thomas the 38yearold black man who died of thirst in clarke s milwaukee county jail cell this april was a victim of homicide we just thought we should point that out it can t be repeated enough spencer platt,News,"December 30, 2017",0
3, Trump Is So Obsessed He Even Has Obama’s Name Coded Into His Website (IMAGES),on christmas day donald trump announced that he would be back to work the following day but he is golfing for the fourth day in a row the former reality show star blasted former president barack obama for playing golf and now trump is on track to outpace the number of golf games his predecessor playedupdated my tracker of trump s appearances at trump properties71 rounds of golf including today s at this pace he ll pass obama s firstterm total july 24 next year piccom5gemcjqtbh philip bump december 29 2017 that makes what a washington post reporter discovered on trump s website really weird but everything about this administration is bizarre af the coding contained a reference to obama and golf unlike obama we are working to fix the problem and not on the golf course however the coding wasn t done correctlythe website of donald trump who has spent several days in a row at the golf course is coded to serve up the following message in the event of an internal server error piccomwiqsqnnzw0 christopher ingraham december 28 2017that snippet of code appears to be on all pages which the footer says is paid for the rnc piccomoazdt126b3 christopher ingraham december 28 2017it s also all over as others have noted in this thread this is weird code and it s not clear it would ever actually display but who knows christopher ingraham december 28 2017after the coding was called out the reference to obama was deletedupdate the golf error message has been removed from the trump and gop websites they also fixed the javascript vs problem still not clear when these messages would actually display since the actual 404 and presumably 500 page displays a different message piccomz7dmyq5smy christopher ingraham december 29 2017that suggests someone at either rnc or the trump admin is sensitive enough to trump s golf problem to make this issue go away quickly once people noticed you have no idea how much i d love to see the email exchange that led us here christopher ingraham december 29 2017 the code was fcked upthe best part about this is that they are using the assignment operator which means that bit of code will never get run if you look a few lines up errorcode will always be 404 december 28 2017trump s coders can t code nobody is surprised tim peterson december 28 2017donald trump is obsessed with obama that his name was even in the coding of his website while he played golf again joe raedle,News,"December 29, 2017",0
4, Pope Francis Just Called Out Donald Trump During His Christmas Speech,pope francis used his annual christmas day message to rebuke donald trump without even mentioning his name the pope delivered his message just days after members of the united nations condemned trump s move to recognize jerusalem as the capital of israel the pontiff prayed on monday for the peaceful coexistence of two states within mutually agreed and internationally recognized borders we see jesus in the children of the middle east who continue to suffer because of growing tensions between israelis and palestinians francis on this festive day let us ask the lord for peace for jerusalem and for all the holy land let us pray that the will to resume dialogue may prevail between the parties and that a negotiated solution can finally be reached the pope went on to plead for acceptance of refugees who have been forced from their homes and that is an issue trump continues to fight against francis used jesus for which there was no place in the inn as an analogy today as the winds of war are blowing in our world and an outdated model of development continues to produce human societal and environmental decline christmas invites us to focus on the sign of the child and to recognize him in the faces of little children especially those for whom like jesus there is no place in the inn he jesus knows well the pain of not being welcomed and how hard it is not to have a place to lay one s head he added may our hearts not be closed as they were in the homes of bethlehem the pope that mary and joseph were immigrants who struggled to find a safe place to stay in bethlehem they had to leave their people their home and their land francis this was no comfortable or easy journey for a young couple about to have a child at heart they were full of hope and expectation because of the child about to be born yet their steps were weighed down the uncertainties and dangers that attend those who have to leave their home behind so many other footsteps are hidden in the footsteps of joseph and mary francis sunday we see the tracks of entire families forced to set out in our own day we see the tracks of millions of persons who do not choose to go away but driven from their land leave behind their dear ones amen to that christopher furlong,News,"December 25, 2017",0
5, Racist Alabama Cops Brutalize Black Boy While He Is In Handcuffs (GRAPHIC IMAGES),the number of cases of cops brutalizing and killing people of color seems to see no end now we have another case that needs to be shared far and wide an alabama woman the name of angela williams shared a graphic of her son lying in a hospital bed with a beaten and fractured face on it needs to be shared far and wide because this is unacceptableit is unclear why williams son was in police custody or what sort of altercation resulted in his arrest but when you see the you will realize that these details matter not cops are not supposed to beat and brutalize those in their custody in the post you are about to see ms williams expresses her hope that the cops had their body cameras on while they were beating her son but i think we all know that there will be some kind of convenient malfunction to explain away the lack of existence of dash or body camera footage of what was clearly a brutal beating hell it could even be described as attempted murder something tells me that this young man will never be the same without further ado here is what troy alabama s finest decided was appropriate treatment of angela williams sonno matter what the perceived crime of this young man might be this is completely unacceptable the cops who did this need to rot in jail for a long long time but what you wanna bet they get a paid vacation while the force investigates itself only to have the officers returned to duty posthastethis folks is why we say black lives matter no way in hell would this have happened if angela williams son had been white please share far and wide and stay tuned to addicting info for further updates david mcnewstringer,News,"December 25, 2017",0
6," Fresh Off The Golf Course, Trump Lashes Out At FBI Deputy Director And James Comey",donald trump spent a good portion of his day at his golf club marking the 84th day he s done so since taking the oath of office it must have been a bad game because just after that trump lashed out at fbi deputy director andrew mccabe on following a report saying mccabe plans to retire in a few months the report follows mccabe s testimony in front of congressional committees this week as well as mounting criticism from republicans regarding the russia probeso naturally trump attacked mccabe with a lie how can fbi deputy director andrew mccabe the man in charge along with leakin james comey of the phony hillary clinton investigation including her 33000 illegally deleted emails be given 700000 for wife s campaign clinton puppets during investigation trump tweetedhow can fbi deputy director andrew mccabe the man in charge along with leakin james comey of the phony hillary clinton investigation including her 33000 illegally deleted emails be given 700000 for wife s campaign clinton puppets during investigation donald j trump december 23 2017he didn t stop therefbi deputy director andrew mccabe is racing the clock to retire with full benefits 90 days to go donald j trump december 23 2017wow fbi lawyer james baker reassigned to donald j trump december 23 2017with all of the intel at trump s disposal he s getting his information from fox news mccabe spent most of his career in the fight against terrorism and now he s being attacked the socalled president trump has been factchecked before on his claim of his wife receiving 700000 for her campaignpolitifact noted in late july that trump s tweet about andrew mccabe is a significant distortion of the facts and the implication that mccabe got clinton off as a political favor doesn t make much sense when we look at the evidence his july tweet was rated mostly false but trump repeats these lies because he knows his supporters will believe them without bothering to google it s still a lie though zach gibson pool,News,"December 23, 2017",0
7," Trump Said Some INSANELY Racist Stuff Inside The Oval Office, And Witnesses Back It Up",in the wake of yet another court decision that derailed donald trump s plan to bar muslims from entering the united states the new york times published a report on saturday morning detailing the president s frustration at not getting his way and how far back that frustration goes to the article back in june trump stomped into the oval office furious about the state of the travel ban which he thought would be implemented and fully in place then instead he fumed visas had already been issued to immigrants at such a rate that his friends were calling to say he looked like a fool after making his broad pronouncementsit was then that trump began reading from a document that a top advisor noted white supremacist stephen miller had handed him just before the meeting with his cabinet the page listed how many visas had been issued this year and included 2500 from afghanistan a country not on the travel ban 15000 from haiti also not included and 40000 from nigeria sensing a pattern yet and trump expressed his dismay at each to witnesses in the room who spoke to the times on condition of anonymity and who were interviewed along with three dozen others for the article trump called out each country for its faults as he afghanistan was a terrorist haven the people of nigeria would never go back to their huts once they saw the glory of america and immigrants from haiti all have aids despite the extensive research done the newspaper the white house of course denies that any such language was usedbut given trump s racist history and his advisor stephen miller s blatant white nationalism it would be no surprise if a freedom of information act request turned up that the document in question had the statements printed inline as commentary for the president to punctuate his anger with it was miller after all who was responsible for the american carnage speech that trump delivered at his inaugurationthis racist is a menace to america and he doesn t represent anything that this country stands for let s hope that more indictments from robert mueller are on their way as we speak chris kleponispool,News,"December 23, 2017",0
8," Former CIA Director Slams Trump Over UN Bullying, Openly Suggests He’s Acting Like A Dictator (TWEET)",many people have raised the alarm regarding the fact that donald trump is dangerously close to becoming an autocrat the thing is democracies become autocracies right under the people s noses because they can often look like democracies in the beginning phases this was explained republican david frum just a couple of months into donald trump s presidency in a piece in the atlantic called how to build an autocracy in fact if you really look critically at what is happening right now the systematic discrediting of vital institutions such as the free press and the federal bureau of investigation as well the direct weaponization of the department of justice in order to go after trump s former political opponent 2016 democratic nominee hillary clinton and you have the makings of an autocracy we are more than well on our way further one chamber of congress the house of representatives already has a rogue band of republicans who are running a parallel investigation to the official russian collusion investigation with the explicit intent of undermining and discrediting the idea that trump could have possibly done anything wrong with the russians in order to swing the 2016 election in his favorall of that is just for starters too now we have trump making united nations ambassador nikki haley bully and threaten other countries in the united nations who voted against trump s decision to change us policy when it comes to recognition of jerusalem as the capital of the jewish state well one expert who is usually quite measured has had enough of trump s autocratic antics former cia director john o brennan the seasoned spy took to trump s favorite platform and blasted the decisiontrump admin threat to retaliate against nations that exercise sovereign right in un to oppose us position on jerusalem is beyond outrageous shows expects blind loyalty and subservience from everyone qualities usually found in narcissistic vengeful autocrats john o brennan december 21 2017director brennan is correct of course trump is behaving just like an autocrat and so many people in the nation are asleep when it comes to this dangerous age in which the greatest threat to democracy and the very fabric of the republic itself is the american president fellow americans we know the gopled congress will not be the check on trump that they are supposed to be it s time to get out and flip the house and possibly the senate in 2018 and resist in the meantime if we want to save our country from devolving into something that looks more like russia or north korea than the america we have always know we re already well on our way brendan smialowskiafp,News,"December 22, 2017",0
9, WATCH: Brand-New Pro-Trump Ad Features So Much A** Kissing It Will Make You Sick,just when you might have thought we d get a break from watching people kiss donald trump s ass and stroke his ego ad nauseam a protrump group creates an ad that s nothing but people doing even more of those exact things america first policies is set to release this ad called thank you president trump on christmas day and well we threw up a little in our mouths trying to thisbasically the spot is nothing but people fawning all over trump for all the stuff he hasn t actually done the ad includes a scene with a little girl thanking trump for bringing back merry christmas which never went away there are even videos of president obama saying merry christmas himself a man thanks him for cutting his taxes and america first says that everyday americans everywhere are thanking trump for being such a great and awesome presidentthe best presidentnobody s ever done what he s done he s breaking all kinds of records every daybelieve usanyway the word propaganda comes to mind when watching this that s what it is literal propaganda promoting someone who shouldn t need this kind of promotion anymore this ad bullshit belowthe way the magas are kowtowing to orange hitler is both disgusting and frightening the man has done nothing and his policies will harm the very same americans who are thanking him unfortunately it will take an obscene amount of pain before they ll open their eyes and see they ve been duped a con man with a bad hairdoand his ongoing need for this kind of adoration is at best unbecoming of his office this ad is vile al dragopool,News,"December 21, 2017",0
